country_dir,government_type,capital,chief_of_state,head_of_government,judicial_highest_courts
UKR_ukraine,semi-presidential republic,Kyiv (Kiev is the transliteration from Russian),President Volodymyr ZELENSKYY (since 20 May 2019),Prime Minister Yulia SVYRYDENKO (since 17 July 2025),"Supreme Court of Ukraine or SCU (consists of 100 judges, organized into civil, criminal, commercial and administrative chambers, and a grand chamber); Constitutional Court (consists of 18 justices); High Anti-Corruption Court (consists of 39 judges, including 12 in the Appeals Chamber)"
URY_uruguay,presidential republic,Montevideo,President Yamandú ORSI Martínez (since 1 March 2025),President Yamandú ORSI Martínez (since 1 March 2025),Supreme Court of Justice (consists of 5 judges)
USA_united_states,constitutional federal republic,"Washington, D.C.",President Donald J. TRUMP (since 20 January 2025),President Donald J. TRUMP (since 20 January 2025),US Supreme Court (consists of 9 justices -- the chief justice and 8 associate justices)
UZB_uzbekistan,presidential republic; highly authoritarian,Tashkent (Toshkent),President Shavkat MIRZIYOYEV (since 14 December 2016),Prime Minister Abdulla ARIPOV (since 14 December 2016),"Supreme Court (consists of 67 judges organized into administrative, civil, criminal, and economic sections); Constitutional Court (consists of 7 judges)"
VAT_holy_see,"ecclesiastical elective monarchy; self-described as an ""absolute monarchy""",Vatican City,Pope LEO XIV (since 8 May 2025),President of the Pontifical Commission for the State of Vatican City and President of the Governorate of the Vatican City State Fernando VERGEZ ALZAGA (since 1 October 2021),"Supreme Court or Supreme Tribunal of the Apostolic Signatura (consists of the cardinal prefect, who serves as ex-officio president of the court, and 2 other cardinals of the Prefect Signatura)"
VCT_saint_vincent_and_the_grenadines,parliamentary democracy under a constitutional monarchy; a Commonwealth realm,Kingstown,King CHARLES III (since 8 September 2022); represented by Governor General Stanley JOHN (since 6 January 2026),Prime Minister Godwin FRIDAY (since 28 November 2025),the Eastern Caribbean Supreme Court (ECSC) is the superior court of the Organization of Eastern Caribbean States; the ECSC is headquartered on St. Lucia and consists of the Court of Appeal -- headed by the chief justice and 4 judges -- and the High Court with 18 judges; the Court of Appeal travels to member states on a schedule to hear appeals from the High Court and subordinate courts; Saint Vincent and the Grenadines is a member of the Caribbean Court of Justice
VEN_venezuela,federal presidential republic,Caracas,Interim President Delcy Eloína RODRÍGUEZ Gómez (since 5 January 2026),Interim President Delcy Eloína RODRÍGUEZ Gómez (since 5 January 2026),"Supreme Tribunal of Justice (consists of 32 judges organized into constitutional, political-administrative, electoral, civil appeals, criminal appeals, and social divisions)"
VNM_vietnam,communist party-led state,Hanoi (Ha Noi),President Luong CUONG (since 21 Oct 2024),Prime Minister Pham Minh CHINH (since 26 July 2021),Supreme People's Court (consists of the chief justice and 13 judges)
VUT_vanuatu,parliamentary republic,Port-Vila (on Efate),President Nikenike VUROBARAVU (since 23 July 2022),Prime Minister Jotham NAPAT (since 11 February 2025),Court of Appeal (consists of 2 or more judges of the Supreme Court designated by the chief justice); Supreme Court (consists of the chief justice and 6 puisne judges -- 3 local and 3 expatriate)
WSM_samoa,parliamentary republic,Apia,TUIMALEALI'IFANO Va’aletoa Sualauvi II (since 21 July 2017),Prime Minister LA'AULIALEMALIETOA La'auli Leuatea Schmidt (since 16 September 2025),Court of Appeal (consists of the chief justice and 2 Supreme Court judges and meets once or twice a year); Supreme Court (consists of the chief justice and several judges)
XKS_kosovo,parliamentary republic,"Pristina (Prishtine, Prishtina)",President Vjosa OSMANI-Sadriu (since 4 April 2021),Acting Prime Minister Albin KURTI (since 15 April 2025),"Supreme Court (consists of the court president and 18 judges and organized into Appeals Panel of the Kosovo Property Agency and Special Chamber); Constitutional Court (consists of the court president, vice president, and 7 judges)"
YEM_yemen,in transition,Sanaa,Presidential Leadership Council Chairperson Dr. Rashad Muhammad al-ALIMI (since 19 April 2022),Prime Minister Salim Salih BIN BURAYK (since 9 May 2025),"Supreme Court (consists of the court president, 2 deputies, and nearly 50 judges; court organized into constitutional, civil, commercial, family, administrative, criminal, military, and appeals scrutiny divisions)"
ZAF_south_africa,parliamentary republic,Pretoria (administrative capital); Cape Town (legislative capital); Bloemfontein (judicial capital),President Matamela Cyril RAMAPHOSA (since 19 June 2024),President Matamela Cyril RAMAPHOSA (since 19 June 2024),"Supreme Court of Appeals (consists of the court president, deputy president, and 21 judges); Constitutional Court (consists of the chief and deputy chief justices and 9 judges)"
ZMB_zambia,presidential republic,Lusaka,President Hakainde HICHILEMA (since 24 August 2021),President Hakainde HICHILEMA (since 24 August 2021),"Supreme Court (consists of the chief justice, deputy chief justice, and at least 11 judges); Constitutional Court (consists of the court president, vice president, and 11 judges)"
ZWE_zimbabwe,presidential republic,Harare,President Emmerson Dambudzo MNANGAGWA (since 4 September 2023),Vice President Constantino CHIWENGA (since 11 September 2023),Supreme Court (consists of the chief justice and 4 judges); Constitutional Court (consists of the chief and deputy chief justices and 9 judges)
